,Months,date_formatted,business,personal,death,family,fashion,meme,Meme,political,fenty,savage,music,charity,mag,film,puma,met
1,Jan 2018,2018.01,2,3,0,0,2,1,1,0,0,0,2,0,0,0,0,0
2,Feb 2018,2018.02,4,8,0,2,2,2,2,0,0,0,1,0,0,0,2,0
3,Mar 2018,2018.03,5,6,0,0,1,2,2,0,4,0,1,0,0,0,1,0
4,Apr 2018,2018.04,22,16,0,0,14,2,2,0,8,13,0,0,1,0,0,0
5,May 2018,2018.05,41,12,0,2,5,1,1,1,12,14,1,0,3,4,0,7
6,Jun 2018,2018.06,23,12,0,0,5,0,5,1,10,2,0,1,0,9,1,0
7,Jul 2018,2018.07,18,0,0,0,0,0,1,0,1,11,0,3,3,0,0,0
8,Aug 2018,2018.08,2,4,0,3,0,0,0,0,0,0,0,2,0,0,0,0
9,Sep 2018,2018.09,22,2,0,0,1,0,0,0,10,6,0,0,6,0,0,0
10,Oct 2018,2018.1,16,9,0,0,7,1,1,1,12,0,0,4,0,0,0,0
11,Nov 2018,2018.11,5,10,1,0,0,2,2,6,2,3,0,0,0,0,0,0
12,Dec 2018,2018.12,15,4,0,2,0,0,0,0,11,4,0,0,0,0,0,0
13,Jan 2019,2019.01,10,1,0,1,0,0,0,0,5,2,3,0,0,0,0,0
14,Feb 2019,2019.02,4,8,2,0,5,0,0,0,3,1,0,0,0,0,0,0
15,Mar 2019,2019.03,10,3,1,0,1,0,0,0,7,3,0,0,0,0,0,0
16,Apr 2019,2019.04,4,5,4,1,0,0,0,0,2,0,0,0,2,0,0,0